Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
"26,100","-5,810","-0,110","0,314","-0,1387","-0,003","0,008",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,522","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,150","-5,815","-0,094","-0,157","-0,1388","-0,002","-0,004",9.00E-05,9.00E-06,"9,2E-7",,,,,,,,,,,,,,,,,,,,,"0,523","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,200","-5,820","-0,126","-0,942","-0,1389","-0,003","-0,023",9.00E-05,9.00E-06,"8,6E-7",,,,,,,,,,,,,,,,,,,,,"0,524","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,250","-5,828","-0,188","-0,942","-0,1391","-0,005","-0,022",9.00E-05,9.00E-06,"9,2E-7",,,,,,,,,,,,,,,,,,,,,"0,525","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,300","-5,839","-0,220","-0,785","-0,1394","-0,005","-0,019",9.00E-05,9.00E-06,"9,2E-7",,,,,,,,,,,,,,,,,,,,,"0,526","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,350","-5,850","-0,267","-1,257","-0,1396","-0,006","-0,030",1.00E-04,1.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,"0,527","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,400","-5,865","-0,346","-2,356","-0,1400","-0,008","-0,056",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,528","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,450","-5,884","-0,503","-2,042","-0,1405","-0,012","-0,049",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,529","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,500","-5,916","-0,550","0,785","-0,1412","-0,013","0,019",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,530","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,550","-5,939","-0,424","1,728","-0,1418","-0,010","0,041",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,531","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,600","-5,958","-0,377","0,314","-0,1422","-0,009","0,007",2.00E-04,2.00E-05,"1,8E-6",,,,,,,,,,,,,,,,,,,,,"0,532","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,650","-5,977","-0,393","0,157","-0,1427","-0,009","0,004",3.00E-04,3.00E-05,"2,8E-6",,,,,,,,,,,,,,,,,,,,,"0,533","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,700","-5,997","-0,361","0,785","-0,1432","-0,009","0,019",3.00E-04,3.00E-05,"2,9E-6",,,,,,,,,,,,,,,,,,,,,"0,534","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,750","-6,013","-0,314","0,628","-0,1435","-0,007","0,015",3.00E-04,3.00E-05,"3,0E-6",,,,,,,,,,,,,,,,,,,,,"0,535","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,800","-6,029","-0,298","0,157","-0,1439","-0,007","0,004",3.00E-04,3.00E-05,"3,1E-6",,,,,,,,,,,,,,,,,,,,,"0,536","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,850","-6,043","-0,298","0,000","-0,1443","-0,007","0,000",2.00E-04,2.00E-05,"2,1E-6",,,,,,,,,,,,,,,,,,,,,"0,537","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,900","-6,059","-0,298","0,157","-0,1446","-0,007","0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,538","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26,950","-6,073","-0,283","0,157","-0,1450","-0,007","0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,539","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,000","-6,087","-0,283","-0,471","-0,1453","-0,007","-0,011",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,540","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,050","-6,101","-0,330","-0,942","-0,1456","-0,008","-0,023",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,541","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,100","-6,120","-0,377","-0,785","-0,1461","-0,009","-0,019",2.00E-04,2.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,542","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,150","-6,139","-0,408","-1,100","-0,1465","-0,010","-0,026",2.00E-04,2.00E-05,"2,1E-6",,,,,,,,,,,,,,,,,,,,,"0,543","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,200","-6,161","-0,487","-1,414","-0,1471","-0,012","-0,034",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,544","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,250","-6,187","-0,550","-0,942","-0,1477","-0,013","-0,022",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,545","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,300","-6,216","-0,581","-1,257","-0,1484","-0,014","-0,030",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,546","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,350","-6,245","-0,675","-5,969","-0,1491","-0,016","-0,142",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,547","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,400","-6,283","-1,178","-2,827","-0,1500","-0,028","-0,068",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,548","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,450","-6,363","-0,958","9,425","-0,1519","-0,023","0,225",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,549","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,500","-6,379","-0,236","8,168","-0,1523","-0,006","0,195",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,550","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,550","-6,387","-0,141","0,785","-0,1525","-0,003","0,019",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,551","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,600","-6,393","-0,157","-2,670","-0,1526","-0,004","-0,064",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,552","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,650","-6,403","-0,408","-7,854","-0,1528","-0,010","-0,188",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,553","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,700","-6,434","-0,942","-5,027","-0,1536","-0,023","-0,120",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,554","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,750","-6,497","-0,911","4,869","-0,1551","-0,022","0,116",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,555","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,800","-6,525","-0,456","5,498","-0,1558","-0,011","0,131",2.00E-04,2.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,556","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,850","-6,542","-0,361","0,628","-0,1562","-0,009","0,015",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,557","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,900","-6,561","-0,393","-1,885","-0,1566","-0,009","-0,045",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,558","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,950","-6,582","-0,550","-2,356","-0,1571","-0,013","-0,056",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,559","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,000","-6,616","-0,628","0,942","-0,1579","-0,015","0,023",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,560","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,050","-6,644","-0,456","3,613","-0,1586","-0,011","0,086",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,561","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,100","-6,662","-0,267","2,670","-0,1590","-0,006","0,064",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,562","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,150","-6,671","-0,188","0,785","-0,1593","-0,004","0,019",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,563","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,200","-6,681","-0,188","0,314","-0,1595","-0,005","0,007",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,564","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,250","-6,690","-0,157","0,628","-0,1597","-0,004","0,015",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,565","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,300","-6,696","-0,126",5.58E-11,"-0,1599","-0,003",1.33E-12,1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,566","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,350","-6,703","-0,157","-2,356","-0,1600","-0,004","-0,056",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,567","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,400","-6,712","-0,361","-3,613","-0,1602","-0,009","-0,086",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,568","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,450","-6,739","-0,518","-0,471","-0,1609","-0,012","-0,011",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,569","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,500","-6,764","-0,408","1,100","-0,1615","-0,010","0,026",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,570","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,550","-6,780","-0,408","0,471","-0,1619","-0,010","0,011",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,571","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,600","-6,805","-0,361","0,157","-0,1625","-0,009","0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,572","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,650","-6,816","-0,393","-2,670","-0,1627","-0,009","-0,064",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,573","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,700","-6,844","-0,628",-2.29E-10,"-0,1634","-0,015",-5.55E-13,1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,574","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,750","-6,879","-0,393","5,184","-0,1642","-0,009","0,124",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,575","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,800","-6,883","-0,110","2,670","-0,1643","-0,003","0,064",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,576","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,850","-6,890","-0,126","-0,314","-0,1645","-0,003","-0,008",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,577","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,900","-6,896","-0,141","-0,314","-0,1646","-0,003","-0,008",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,578","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,950","-6,904","-0,157","-0,157","-0,1648","-0,004","-0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,579","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,000","-6,912","-0,157","0,157","-0,1650","-0,004","0,004",2.00E-04,2.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,580","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,050","-6,919","-0,141","0,157","-0,1652","-0,003","0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,581","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,100","-6,926","-0,141","0,000","-0,1653","-0,003","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,582","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,150","-6,934","-0,141","0,314","-0,1655","-0,003","0,008",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,583","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,200","-6,940","-0,110","0,314","-0,1657","-0,003","0,008",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,584","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,250","-6,944","-0,110","-0,157","-0,1658","-0,003","-0,004",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,585","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,300","-6,951","-0,126",3.91E-11,"-0,1659","-0,003",9.32E-13,1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,586","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,350","-6,957","-0,110","0,314","-0,1661","-0,003","0,008",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,587","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-7,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,400","-6,962","-0,094","0,471","-0,1662","-0,002","0,011",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,588","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,450","-6,966","-0,063","0,628","-0,1663","-0,001","0,015",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,589","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,500","-6,968","-0,031","0,471","-0,1664",-7.50E-01,"0,011",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,590","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,550","-6,970","-0,016","0,314","-0,1664",-3.75E-01,"0,007",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,591","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,600","-6,970","0,000","0,157","-0,1664","0,000","0,004",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,592","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
